销售日期,店风格,店名,店性质,品类描述,品牌描述,所属大区,所属小区,销售额,毛利,毛利率(%)
2017-9-28,生活馆,郑州店,自有店,男士配饰,ZIPPO(之宝),中西区,中南,6259,128,2.05
2017-9-28,时尚馆,昆明店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,5469,138,2.52
2017-9-28,时尚馆,重庆店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,5339,146,2.73
2017-9-28,时尚馆,成都店,自有店,男士配饰,ZIPPO(之宝),中西区,西南,2949,767,26.01
2017-9-28,生活馆,上成山店,自有店,男士皮鞋,HANG TEN,东南区,上海,3227,871,26.99
2017-9-28,生活馆,天新百店,自有店,儿童服装,PAW IN PAW,北方区,华北,1302,208,15.98
2017-9-28,生活馆,北京一期（百货）,自有店,儿童服装,PAW IN PAW,北方区,华北,7970,199,2.5
2017-9-28,生活馆,北利莹百_,自有店,儿童服装,PAW IN PAW,北方区,华北,4986,120,2.41
2017-9-28,生活馆,北利莹百_,自有店,儿童服装,PAW IN PAW,北方区,华北,4035,605,14.99
2017-9-28,时尚馆,武徐东店,管理店,儿童服装,PAW IN PAW,中西区,华中,2765,497,17.97
2017-9-28,时尚馆,武徐东店,管理店,儿童服装,PAW IN PAW,中西区,华中,1366,245,17.94
2017-9-28,生活馆,武汉阳店,自有店,儿童服装,PAW IN PAW,中西区,华中,1851,333,17.99
2017-9-28,时尚馆,重庆店,自有店,儿童服装,PAW IN PAW,中西区,西南,1353,162,11.97
2017-9-28,时尚馆,重庆店,自有店,儿童服装,PAW IN PAW,中西区,西南,3593,431,12
2017-9-28,时尚馆,成都店,自有店,儿童服装,PAW IN PAW,中西区,西南,3168,633,19.98
2017-9-28,时尚馆,成都店,自有店,儿童服装,PAW IN PAW,中西区,西南,6159,616,10
2017-9-28,生活馆,武汉百货,自有店,儿童饰物,PAW IN PAW,中西区,华中,4121,989,24
2017-9-28,生活馆,武汉百货,自有店,儿童饰物,PAW IN PAW,中西区,华中,1646,395,24
2017-9-28,生活馆,北京一期（百货）,自有店,婴儿用品,O.C.T.MAMI(十月妈咪),北方区,华北,1336,404,30.24
2017-9-28,生活馆,天新百店,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,3109,458,14.73
2017-9-28,生活馆,北京一期（百货）,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,3985,100,2.51
2017-9-28,生活馆,北利莹百_,自有店,运动服装及用品,NEW BALANCE(新百伦),北方区,华北,7563,183,2.42
2017-9-28,时尚馆,上淮海店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,4421,596,13.48
2017-9-28,时尚馆,上虹口店,自有店,运动服装及用品,NEW BALANCE(新百伦),东南区,上海,1672,217,12.98
